time	EMPTY_DRIVE	PICKUP	OCCUPIED_DRIVE	DROPOFF	STAY	UNPLANNED
07:50	1423.0	305.0	2078.0	168.0	1026.0	1.0
07:55	1548.0	321.0	2056.0	153.0	922.0	2.0
08:00	1586.0	386.0	2040.0	171.0	817.0	3.0
08:05	1596.0	382.0	2137.0	150.0	735.0	3.0
08:10	1656.0	352.0	2297.0	169.0	526.0	1.0
08:15	1625.0	370.0	2305.0	161.0	539.0	4.0
08:20	1654.0	387.0	2370.0	166.0	423.0	2.0
08:25	1616.0	367.0	2449.0	161.0	407.0	2.0
08:30	1446.0	348.0	2490.0	192.0	524.0	0.0
08:35	1107.0	385.0	2485.0	193.0	830.0	3.0
08:40	587.0	374.0	2543.0	207.0	1289.0	2.0
08:45	305.0	190.0	2423.0	191.0	1891.0	1.0
08:50	162.0	132.0	1944.0	168.0	2594.0	0.0
08:55	87.0	81.0	1437.0	119.0	3276.0	0.0
09:00	79.0	45.0	982.0	93.0	3801.0	0.0
09:05	61.0	25.0	654.0	75.0	4185.0	0.0
09:10	40.0	25.0	441.0	41.0	4453.0	0.0
09:15	34.0	9.0	308.0	38.0	4611.0	0.0
09:20	24.0	12.0	217.0	17.0	4730.0	0.0
09:25	14.0	10.0	152.0	19.0	4805.0	0.0
09:30	19.0	7.0	101.0	11.0	4862.0	0.0
09:35	15.0	3.0	77.0	4.0	4901.0	0.0
09:40	3.0	2.0	58.0	5.0	4932.0	0.0
09:45	2.0	0.0	40.0	5.0	4953.0	0.0
09:50	2.0	1.0	25.0	3.0	4969.0	0.0
09:55	2.0	1.0	18.0	1.0	4978.0	0.0
10:00	5.0	0.0	10.0	1.0	4984.0	0.0
10:05	5.0	0.0	5.0	1.0	4989.0	0.0
10:10	2.0	2.0	4.0	1.0	4991.0	0.0
10:15	1.0	0.0	4.0	1.0	4994.0	0.0
10:20	0.0	1.0	3.0	1.0	4995.0	0.0
10:25	1.0	0.0	3.0	0.0	4996.0	0.0
10:30	0.0	1.0	2.0	0.0	4997.0	0.0
10:35	1.0	0.0	2.0	0.0	4997.0	0.0
10:40	1.0	0.0	2.0	0.0	4997.0	0.0
10:45	0.0	0.0	2.0	0.0	4998.0	0.0
