Link;x;y;00:00:00;01:00:00;02:00:00;03:00:00;04:00:00;05:00:00;06:00:00;07:00:00;08:00:00;09:00:00;10:00:00;11:00:00;12:00:00;13:00:00;14:00:00;15:00:00;16:00:00;17:00:00;18:00:00;19:00:00;20:00:00;21:00:00;22:00:00;23:00:00
3697;451931.406932525;5733832.50176344;0;0;0;0;0;0;0;6;3;0;0;0;0;0;1;1;4;2;1;0;0;0;0;0
5755;456449.7941082255;5732098.913084298;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0
5998;453903.0438621503;5732751.573244598;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;2;1;1;0;0;0;0;0;0
4667;448945.62461239373;5732720.896151598;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5636;457528.65639889345;5740319.619020689;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0
738;454680.68789593084;5732236.80723608;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0
4548;456587.8637274469;5736612.398371281;0;0;0;0;0;0;1;4;1;0;0;0;0;0;1;3;1;0;0;0;0;0;0;0
10952;454540.4487043895;5734256.289153617;0;0;0;0;0;0;0;5;3;1;0;0;0;0;1;6;5;0;0;0;0;0;0;0
6727;456184.5700611446;5733922.163604268;0;0;0;0;0;0;0;5;0;0;0;0;0;0;3;2;1;1;0;0;0;0;0;0
5771;453580.25118300813;5734859.630759625;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;5;2;0;0;0;0
7831;451285.6804951199;5734617.616318771;0;0;0;0;0;0;2;5;3;0;0;0;0;0;1;1;5;1;0;0;0;0;0;0
1054;455358.32600355695;5734630.018082513;0;0;0;0;0;0;1;3;3;0;0;0;0;0;0;4;2;1;0;0;0;0;0;0
3594;448326.0005761118;5732494.58193823;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1292;453833.44489380106;5732213.567724132;0;0;0;0;0;0;0;9;12;1;0;0;0;0;1;5;11;5;0;0;0;0;0;0
2260;454067.16793975694;5728850.264770664;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0
10964;457536.05432931904;5730229.806894024;0;0;0;0;0;0;2;2;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
10846;454836.71101638465;5730481.666177938;0;0;0;0;0;0;2;4;4;0;0;0;0;0;0;1;4;1;0;0;0;0;0;0
10724;455229.9782617796;5739955.641633229;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0
2258;454093.43821390014;5728664.847466882;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10968;459402.5503406492;5731813.503080186;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
746;457271.70592411654;5738539.317522195;0;0;0;0;0;0;2;1;1;0;0;0;0;0;1;0;3;0;0;0;0;0;0;0
867;456589.1274672481;5736458.2069002325;0;0;0;0;0;0;1;3;2;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
7944;451969.4132143813;5735045.542068457;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0
7828;453498.0208787408;5734591.85674507;0;0;0;0;0;0;1;2;1;0;0;0;0;0;2;4;4;1;0;0;0;0;0;0
6630;457576.0065726833;5736842.746975497;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0
4210;457545.65053790587;5730101.952009246;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4212;457710.83911701525;5730077.3179232;0;0;0;0;0;0;2;0;3;0;0;0;0;0;2;2;1;1;0;0;0;0;0;0
3244;453372.3643485569;5734987.204152327;0;0;0;0;0;0;6;4;2;0;0;0;0;0;2;6;4;1;0;0;0;0;0;0
2274;456132.98416298185;5730176.853965108;0;0;0;0;0;0;1;3;1;0;0;0;0;0;1;1;2;0;0;0;0;0;0;0
3480;454308.54487741576;5737410.486928683;0;0;0;0;0;0;3;4;3;0;0;0;0;0;1;2;1;0;0;0;0;0;0;0
3117;451211.25976288185;5731278.550820272;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0
4446;453718.0124656531;5732889.788170237;0;0;0;0;0;0;1;4;1;0;0;0;0;0;2;1;0;2;0;0;0;0;0;0
5777;453940.7405456183;5730561.6243129065;0;0;0;0;0;0;1;23;31;5;0;0;0;0;0;17;30;13;0;0;0;0;0;0
5535;452729.66316527163;5734054.827301874;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;3;0;0;0;0;0;0;0
10012;454264.7902751877;5733319.396423514;0;0;0;0;0;0;1;5;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0
6628;456771.8922996442;5734264.386985916;0;0;0;0;0;0;3;2;3;0;0;0;0;0;1;2;0;1;0;0;0;0;0;0
7970;454411.5814341822;5736762.405035789;0;0;0;0;0;0;3;4;1;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0
7611;455819.8198433522;5731637.153589405;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
6884;454125.91329436115;5732910.170534192;0;0;0;0;0;0;2;2;1;0;0;0;0;0;0;2;2;1;0;0;0;0;0;0
10261;455676.7326213555;5726131.595229367;0;0;0;0;0;0;0;8;14;2;0;0;0;0;1;8;15;10;0;0;0;0;0;0
6642;457992.930708385;5736357.088291576;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;1;4;2;0;0;0;0;0;0
3248;453833.78638737416;5734187.341342379;0;0;0;0;0;0;2;6;4;1;0;0;0;0;0;4;4;1;0;0;0;0;0;0
3127;451610.00270323287;5734439.818238942;0;0;0;0;0;0;0;5;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0
884;456721.41123830096;5731913.75292492;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;1;5;0;0;0;0;0;0;0
644;452946.288255904;5736253.198701777;0;0;0;0;0;0;1;2;1;0;0;0;0;0;0;6;3;2;0;0;0;0;0;0
3125;451603.0313315138;5734148.99439307;0;0;0;0;0;0;2;1;4;0;0;0;0;0;1;5;1;1;0;0;0;0;0;0
5303;455585.55915750505;5734314.464128468;0;0;0;0;0;0;2;6;3;0;0;0;0;0;2;3;2;1;0;0;0;0;0;0
4698;457612.3201734369;5734454.20923626;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;3;1;0;0;0;0;0;0;0
4216;457951.43305869866;5730096.660567633;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0
5305;455489.386128583;5734258.899961596;0;0;0;0;0;0;1;5;2;0;0;0;0;0;0;3;4;1;0;0;0;0;0;0
6998;452444.06925484905;5733153.436862349;0;0;0;0;0;0;0;3;0;0;0;0;0;0;3;5;1;1;0;0;0;0;0;0
5426;456141.78382631345;5731579.362781847;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
10388;454738.0710714298;5740708.569266587;0;0;0;0;0;1;2;1;1;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0
7980;454622.6252782091;5736963.495642658;0;0;0;0;0;0;0;4;8;1;0;0;0;0;1;2;6;4;0;0;0;0;0;0
7622;452141.66803279385;5734341.873346209;0;0;0;0;0;0;4;1;4;0;0;0;0;0;0;4;2;1;0;0;0;0;0;0
4596;450022.6107033157;5730322.104653528;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1086;456122.3376016765;5728439.223758651;0;0;0;0;0;0;4;1;1;0;0;0;0;0;1;2;1;0;0;0;0;0;0;0
2296;454900.8144337628;5737806.712115741;0;0;0;0;0;0;2;2;1;0;0;0;0;0;0;6;2;0;0;0;0;0;0;0
2292;455486.2176931294;5730488.101508643;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0
3018;452571.8451405243;5731232.317688626;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;4;4;1;0;0;0;0;0;0
3016;452965.16575130494;5731054.786092879;0;0;0;0;0;0;0;7;7;1;0;0;0;0;1;3;9;2;0;0;0;0;0;0
5676;454573.12606410123;5737473.76943556;0;0;0;0;0;0;2;2;7;0;0;0;0;0;1;2;4;2;0;0;0;0;0;0
6887;454353.6076729033;5732593.234073881;0;0;0;0;0;0;2;4;0;0;0;0;0;0;1;2;1;0;0;0;0;0;0;0
9914;453944.9908854112;5729351.001091332;0;0;0;0;0;0;4;1;2;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0
6889;454211.31314926705;5732716.372868675;0;0;0;0;0;0;4;3;1;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0
4228;456136.0613658153;5731783.576532499;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0
7859;455876.6367948135;5733661.571557917;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;5;2;2;0;0;0;0;0;0
10355;454504.97171098745;5735481.449328369;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0
7618;451938.79282281775;5734838.2744335905;0;0;0;0;0;0;1;4;5;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0
6420;455508.61608046055;5739287.44493399;0;0;0;0;0;0;0;4;1;0;0;0;0;0;1;2;0;1;0;0;0;0;0;0
7630;452491.3717736247;5734471.476802826;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0
5333;457419.2856513363;5739223.170096327;0;0;0;0;0;0;0;3;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0
6544;456680.996546846;5736297.417515062;0;0;0;0;0;0;0;3;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
5334;457256.6353769822;5738539.957253026;0;0;0;0;0;0;1;4;4;0;0;0;0;0;0;2;4;2;0;0;0;0;0;0
7632;454125.91329436115;5732910.170534192;0;0;0;0;0;0;0;4;3;0;0;0;0;0;2;3;4;1;0;0;0;0;0;0
6422;455472.2117398775;5739446.765101909;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
8720;450977.6096476115;5732698.009137265;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
3155;453596.3372536793;5732330.8310466455;0;0;0;0;0;0;2;5;4;0;0;0;0;0;0;1;1;2;1;0;0;0;0;0
2064;452680.62355637853;5731917.446738004;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0
3273;453731.3560426053;5732824.843300953;0;0;0;0;0;0;0;1;4;0;0;0;0;0;1;3;6;0;0;0;0;0;0;0
780;456900.87223967793;5734727.200276992;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0
301;455384.6656580334;5739495.502146956;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0
6414;451861.28160030814;5733638.002705136;0;0;0;0;0;0;1;4;3;0;0;0;0;0;1;2;1;2;0;0;0;0;0;0
8835;451937.18001243455;5734266.6189724;0;0;0;0;0;0;2;3;1;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0
4477;456592.8998709657;5734704.220104315;0;0;0;0;0;0;2;3;4;0;0;0;0;0;1;6;1;2;0;0;0;0;0;0
6534;456695.6900583637;5736790.864466328;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
7988;454051.9045269506;5738090.237823366;0;0;0;0;0;0;1;4;5;0;0;0;0;0;1;4;4;0;0;0;0;0;0;0
5327;451772.79212982743;5735035.231600986;0;0;0;0;0;0;0;3;8;0;0;0;0;0;1;6;5;1;0;0;0;0;0;0
6418;455426.2165271248;5739406.019068291;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
7628;452439.09836031526;5734451.538074167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;3;0;0;0;0;0;0;0
9808;446464.20915544237;5732770.425897855;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
