person;distance;unsharedDistance;distanceDetour;time;unsharedTime;timeDetour
12052000_12052000_26739;7213.3994873274605;7213.3994873274605;1.0;1456.0;411.0;3.542579075425791
12052000_12052000_24166;14386.456656693701;11745.823103387629;1.2248146877458492;1580.0;710.0;2.2253521126760565
12052000_12052000_30961;2021.327925442579;1537.9311393736423;1.314316274437236;285.0;119.0;2.3949579831932772
12052000_12052000_26657;13367.993218549302;5388.548253111653;2.4808153496314826;1522.0;425.0;3.581176470588235
12052000_12052000_25534;26765.051585733734;12661.334727843057;2.1139202272944995;2541.0;972.0;2.6141975308641974
12052000_12052000_19183;14916.148305405479;12224.733922439567;1.2201613875640749;2064.0;597.0;3.457286432160804
12052000_12052000_22130;16666.34791848703;8860.781695277508;1.8809116951125904;1951.0;719.0;2.713490959666203
12052000_12052000_7797;20174.80327005748;7486.748529272556;2.694734996263825;1981.0;574.0;3.451219512195122
12052000_12052000_24;6594.2099936101595;5742.311144699746;1.1483547003015904;1495.0;469.0;3.1876332622601278
12052000_12052000_29403;7333.632147032596;4869.142838561343;1.5061443851993097;1480.0;393.0;3.7659033078880406
12052000_12052000_19313;14898.479051848406;10983.159661150576;1.3564838818238274;2012.0;710.0;2.8338028169014087
12052000_12052000_29740;12458.510567172058;5995.889980005084;2.077841756389515;1338.0;503.0;2.6600397614314115
12052000_12052000_1099;16229.905046545786;6472.8398747896545;2.5073855310028357;1842.0;414.0;4.449275362318841
12052000_12052000_14223;24179.255534777985;11344.231388342967;2.13141417052053;2192.0;713.0;3.0743338008415146
12052000_12052000_31022;13699.75003489931;2648.5864518859344;5.172476067429991;1385.0;164.0;8.445121951219512
12052000_12052000_23394;10724.489965190969;9593.744529727861;1.1178627836043893;1594.0;612.0;2.604575163398693
12052000_12052000_25658;9084.352542206067;4855.456371839821;1.8709575056409866;1239.0;406.0;3.0517241379310347
12052000_12052000_15900;13693.217553402854;8835.672820690123;1.5497651204714171;1619.0;555.0;2.917117117117117
12052000_12052000_17850;5358.3648680770075;4055.4488138460033;1.3212754282047954;1433.0;344.0;4.165697674418604
12052000_12052000_9285;4387.683782076495;3499.964878424233;1.2536365176475526;660.0;260.0;2.5384615384615383
12052000_12071000_36255;20647.14038860832;10216.273936290407;2.0210049688727736;2211.0;717.0;3.083682008368201
12052000_12052000_3504;11872.2822678843;5134.808226313336;2.312117949613924;1589.0;386.0;4.116580310880829
12052000_12052000_20369;1929.2756631136942;1929.2756631136942;1.0;466.0;158.0;2.949367088607595
12052000_12052000_18153;20482.936368922354;12025.40459503087;1.7033053821229682;2583.0;968.0;2.668388429752066
12052000_12052000_11899;6270.910387569124;3524.5163351265946;1.779225797613982;1562.0;251.0;6.223107569721115
12052000_12052000_28043;6605.888890216202;5052.003237302644;1.3075781190004157;895.0;422.0;2.1208530805687205
12052000_12052000_25701;3626.3605216687183;3553.8605096491456;1.0204003538750963;658.0;280.0;2.35
12052000_12052000_31544;8112.260265356706;3190.7015898187565;2.542469120660548;1319.0;218.0;6.0504587155963305
12052000_12052000_5039;8601.624357240991;5722.660270845098;1.503081425445292;1399.0;477.0;2.9329140461215935
12052000_12052000_24597;11679.809928914037;8855.358753570383;1.318953896046828;2001.0;580.0;3.45
12052000_12052000_26832;16508.628796533507;5609.003931453664;2.943237159089498;1648.0;328.0;5.024390243902439
12052000_12052000_3574;1623.635531966342;1623.635531966342;1.0;283.0;160.0;1.76875
12052000_12052000_31554;1060.5487019258853;1060.5487019258853;1.0;999.0;126.0;7.928571428571429
12052000_12052000_26613;18199.806735158218;10610.52986271703;1.7152589899499897;2229.0;735.0;3.0326530612244897
12052000_12052000_21774;2196.066772955523;2090.2754772821695;1.0506111738969957;1332.0;194.0;6.865979381443299
12052000_12052000_2225;13386.655242808056;9011.675159319966;1.485479115274527;1585.0;666.0;2.37987987987988
12052000_12052000_20973;11932.428073943925;5995.5450145263985;1.9902157426944938;1521.0;407.0;3.737100737100737
12052000_12052000_25743;9320.45684085815;6001.475210190283;1.5530276331113322;1178.0;571.0;2.063047285464098
12052000_12052000_24878;13406.670548834203;6717.188410319075;1.9958753171548107;1992.0;531.0;3.751412429378531
12052000_12052000_31333;12855.33045515346;5054.01820618144;2.5435860993596013;1533.0;356.0;4.306179775280899
12052000_12052000_9129;22195.18781731729;10778.057109863617;2.059293951690533;2047.0;568.0;3.6038732394366195
12052000_12052000_7334;6701.371352636289;5742.850781098009;1.166906752077409;1899.0;470.0;4.040425531914893
12052000_12052000_26063;7332.9379709160985;2423.0075551693812;3.026378500253371;1319.0;242.0;5.450413223140496
12052000_12052000_1030;3250.5869853307267;2578.4709104633075;1.2606645947177475;1000.0;302.0;3.3112582781456954
12052000_12052000_26325;8555.878997777554;5573.73180965233;1.5350360028017278;1767.0;393.0;4.4961832061068705
12052000_12052000_5674;17545.542482671262;9553.769936290031;1.8365046049543703;2055.0;617.0;3.3306320907617506
12052000_12052000_22614;10449.008976693083;8408.016409252283;1.2427436470265292;1700.0;546.0;3.1135531135531136
12052000_12052000_3863;8623.224363018133;7719.688771951843;1.117043007530191;1252.0;502.0;2.49402390438247
12052000_12052000_17752;3356.086425198378;3356.086425198378;1.0;391.0;256.0;1.52734375
12052000_12052000_9833;7668.866809540051;6259.486556752032;1.225159082939117;1159.0;476.0;2.4348739495798317
12052000_12052000_3209;7230.20226931088;6168.687805769158;1.172081080606634;1754.0;471.0;3.723991507430998
12052000_12052000_30891;3267.974785811174;3267.974785811174;1.0;727.0;319.0;2.2789968652037618
12052000_12052000_26916;13764.956281917397;12025.87672483639;1.1446114571829413;1424.0;893.0;1.5946248600223965
12052000_12052000_8481;6620.8991279428;2534.140077844604;2.6126808008080444;1469.0;192.0;7.651041666666667
12052000_12052000_18811;11120.254805599321;8486.423590643642;1.3103582076505704;2196.0;698.0;3.146131805157593
12052000_12052000_3495;5380.199284931158;5694.874733558418;0.9447440965166523;1208.0;322.0;3.751552795031056
12052000_12052000_21670;10513.94109538814;5372.774171431811;1.9568924283646636;1398.0;445.0;3.141573033707865
12052000_12052000_23730;2866.307083816488;2782.0050424255005;1.0303026199109577;361.0;197.0;1.83248730964467
12052000_12052000_26507;14767.250591677594;7343.589194051858;2.0109036877551287;1745.0;417.0;4.184652278177458
12052000_12052000_21317;29042.285241822454;14174.14180577596;2.048962514964238;2609.0;949.0;2.749209694415174
12052000_12052000_12580;8659.41005041218;6245.33832114805;1.3865397845765324;1778.0;472.0;3.766949152542373
12052000_12052000_19520;7902.395272574467;6941.28829761597;1.1384623334674913;1550.0;345.0;4.492753623188406
12052000_12052000_31638;13505.391484388887;13505.391484388887;1.0;1055.0;788.0;1.3388324873096447
12052000_12052000_28022;23665.338610216095;11511.707864545575;2.055762610437846;2249.0;727.0;3.09353507565337
12052000_12052000_29942;13676.796463536582;7444.002017993684;1.8372908054668649;2148.0;647.0;3.3199381761978364
12052000_12052000_26471;1741.0270284187272;1741.0270284187272;1.0;508.0;137.0;3.708029197080292
12052000_12052000_31363;18745.64387280185;8498.45218786214;2.2057715285584822;2094.0;631.0;3.3185419968304277
12052000_12052000_7727;11933.631336238514;11678.493865228333;1.0218467786989065;1913.0;632.0;3.026898734177215
12052000_12052000_1706;6118.004835128758;3741.1187206249283;1.6353410014496377;839.0;244.0;3.4385245901639343
12052000_12052000_10153;2265.520903428407;2265.520903428407;1.0;1239.0;227.0;5.458149779735683
12052000_12052000_846;18559.410880821593;8284.576986944372;2.2402363946969515;1850.0;495.0;3.7373737373737375
12052000_12052000_27140;11490.162351417224;5439.045815327456;2.1125327385618764;1751.0;527.0;3.3225806451612905
12071000_12052000_46284;12602.791457217118;7762.242479470599;1.6236018767190912;1339.0;535.0;2.502803738317757
12052000_12052000_29117;14666.83955163597;7826.011862800768;1.8741141476352188;1927.0;483.0;3.989648033126294
12052000_12052000_5174;6753.156362761898;5981.669693328058;1.128975137208655;1117.0;479.0;2.3319415448851775
12052000_12052000_25396;13724.929839156326;9711.272435225774;1.4132988164735016;2154.0;664.0;3.2439759036144578
12052000_12052000_24185;4065.5635302648643;3277.7142222094103;1.2403654664940216;546.0;254.0;2.1496062992125986
12052000_12052000_1616;2276.1630527804705;2276.1630527804705;1.0;329.0;220.0;1.4954545454545454
12052000_12052000_22298;6222.78979734684;5276.240380718882;1.1793984633617074;1371.0;412.0;3.3276699029126213
12052000_12052000_10349;5552.140564268184;5055.69303117045;1.098195742905459;1470.0;337.0;4.362017804154303
12052000_12052000_10477;7254.144272449014;4870.15832220553;1.4895089219941124;1107.0;416.0;2.6610576923076925
12052000_12052000_28977;8033.208320214345;4619.55973085997;1.738955395803248;1291.0;440.0;2.934090909090909
12052000_12052000_28582;9911.472784218722;3074.135544617193;3.2241495667208615;1423.0;209.0;6.8086124401913874
12052000_12052000_28812;7442.829311615906;2534.9688337405228;2.936063438947095;1199.0;224.0;5.352678571428571
12052000_12052000_22802;3619.3643051988984;3619.3643051988984;1.0;625.0;308.0;2.029220779220779
12052000_12052000_28973;10963.373858853602;8458.85830109695;1.296081985134077;1519.0;709.0;2.142454160789845
12052000_12052000_4803;3480.550358678898;3161.4356837613313;1.100939796610981;1488.0;245.0;6.073469387755102
12052000_12052000_18780;10391.330879905088;7331.551914507961;1.417343967699706;1115.0;487.0;2.2895277207392195
12052000_12052000_25065;12197.6510324668;3504.9994200295932;3.480072197091494;1648.0;379.0;4.348284960422164
12052000_12052000_2190;5045.365840155374;4081.2438050689984;1.2362324039276738;672.0;345.0;1.9478260869565218
12052000_12052000_5684;13973.87313392357;8155.160374913995;1.7135007150697437;1540.0;448.0;3.4375
12052000_12052000_23264;8716.247051198734;7910.226001313364;1.1018960835950253;939.0;620.0;1.514516129032258
12052000_12052000_1435;17707.944610244536;9424.276011677404;1.8789713489187954;2201.0;685.0;3.2131386861313866
12052000_12052000_14487;5799.749271924304;5799.749271924304;1.0;593.0;319.0;1.858934169278997
12052000_12052000_6163;6693.089739945975;5228.720433898952;1.2800626509983577;901.0;446.0;2.0201793721973096
12052000_12052000_21856;13065.133871936623;4993.926239667068;2.616204814592464;1693.0;367.0;4.613079019073569
12052000_12052000_31153;6552.730687402263;5716.1925930169855;1.1463453305277378;889.0;446.0;1.993273542600897
12052000_12052000_1401;2851.205795442134;2163.6266467207997;1.3177901093811317;890.0;172.0;5.174418604651163
12052000_12052000_19393;7395.908235166029;3425.837901317518;2.158861116085408;1649.0;287.0;5.7456445993031355
12052000_12052000_17634;21426.386070386434;9624.514506883304;2.2262303262219216;1828.0;540.0;3.3851851851851853
12052000_12052000_30740;17766.634330808763;14183.08449267856;1.252663645907212;2322.0;755.0;3.0754966887417217
12052000_12052000_9967;4282.570943490856;4282.570943490856;1.0;402.0;278.0;1.4460431654676258
12052000_12052000_30218;3762.767556874511;3762.767556874511;1.0;1252.0;289.0;4.3321799307958475
12052000_12052000_11977;2591.6188636109932;2591.6188636109932;1.0;383.0;243.0;1.5761316872427984
12052000_12052000_949;15019.938529048924;5340.932558085764;2.8122314531588466;1838.0;462.0;3.9783549783549783
12052000_12052000_23388;19458.24046156568;8317.262597149136;2.3395005549344177;2182.0;681.0;3.2041116005873715
12052000_12052000_20569;9965.586993663357;4859.5977846641035;2.050702020054563;1785.0;387.0;4.612403100775194
12052000_12052000_26582;10484.691654409937;7067.702641927248;1.4834653048661555;1714.0;413.0;4.150121065375303
12052000_12052000_19759;12025.378625710322;11151.017671418349;1.0784108661699179;1246.0;823.0;1.513973268529769
12052000_12052000_8750;11491.77001589533;5274.1640937128;2.1788798777789986;1353.0;444.0;3.0472972972972974
12052000_12052000_30140;20813.168918869993;7041.365918813575;2.955842539479453;1923.0;582.0;3.304123711340206
12052000_12052000_2664;19398.319052692284;10599.46083110299;1.830123188508795;2110.0;645.0;3.2713178294573644
12052000_12052000_31761;12578.08301918936;6663.594239694784;1.8875823717269857;1366.0;486.0;2.8106995884773665
12052000_12052000_28518;5728.796919638658;4819.994602025499;1.1885484098325036;1782.0;403.0;4.421836228287841
12052000_12052000_13041;11848.179439927015;6732.602594992153;1.7598215954020413;2012.0;545.0;3.691743119266055
12052000_12052000_27967;1810.0934828289182;1810.0934828289182;1.0;326.0;126.0;2.5873015873015874
12052000_12052000_14782;16109.598976629795;7737.542648560429;2.082004546963885;2021.0;692.0;2.9205202312138727
12052000_12052000_3418;223.93663484536668;223.93663484536668;1.0;169.0;30.0;5.633333333333334
12052000_12052000_21937;13003.4327238477;6313.950585332573;2.0594764795997804;1371.0;481.0;2.8503118503118503
12052000_12052000_20962;8484.072365031563;7444.099067556779;1.1397043870637407;1777.0;433.0;4.10392609699769
12071000_12052000_43764;24370.421065131814;12839.086915598424;1.8981428527852535;2141.0;683.0;3.1346998535871156
12052000_12052000_4567;14063.03753203507;5342.353674065872;2.6323673777539707;1625.0;302.0;5.380794701986755
12052000_12052000_4880;3631.1005625053494;3631.1005625053494;1.0;1364.0;268.0;5.08955223880597
12052000_12052000_25979;12658.42314646234;4165.618551016571;3.038785954938961;1786.0;410.0;4.35609756097561
12052000_12052000_922;14851.301762344256;4787.469490243167;3.1021193539950733;1576.0;468.0;3.3675213675213675
12052000_12052000_7713;4738.125586315968;4264.071964900535;1.1111739260776032;1064.0;286.0;3.7202797202797204
12052000_12052000_3610;15273.243721506842;5532.679680457416;2.7605508729260326;1736.0;368.0;4.717391304347826
12052000_12052000_26327;23074.625398025346;11714.265647752556;1.9697884691945957;2135.0;928.0;2.300646551724138
12052000_12052000_8096;18469.99113251998;3045.840821146616;6.064004068855738;1550.0;271.0;5.719557195571956
12052000_12052000_22560;11116.279082852596;8406.0958521996;1.322406891178124;1745.0;646.0;2.7012383900928794
12052000_12052000_27931;5072.896806185893;2514.974337824187;2.017076965713565;1430.0;212.0;6.745283018867925
12052000_12052000_29633;12441.361566054029;4541.031884321301;2.739765296299721;1773.0;383.0;4.629242819843342
12052000_12052000_23348;10263.593651554289;7972.72975763802;1.2873374570010454;1250.0;484.0;2.5826446280991737
12052000_12052000_24374;2616.4262375500775;2616.4262375500775;1.0;931.0;234.0;3.9786324786324787
12052000_12052000_25143;4678.257338333166;4678.257338333166;1.0;498.0;283.0;1.7597173144876326
12052000_12052000_9964;11429.359734890391;5611.196321073549;2.0368846643212253;1586.0;344.0;4.6104651162790695
12052000_12052000_27916;7292.885980583343;7639.746831344429;0.9545978605811933;1111.0;564.0;1.9698581560283688
12052000_12052000_25675;20015.2556397426;11802.832961661225;1.695800974626815;1860.0;949.0;1.9599578503688093
12052000_12052000_20559;2703.6881117416497;2703.6881117416497;1.0;300.0;238.0;1.2605042016806722
12052000_12052000_5430;3038.007503558611;2775.812689384611;1.0944569549583434;538.0;314.0;1.713375796178344
12052000_12052000_24428;6179.99835467915;5532.699912191019;1.1169950390878496;1424.0;453.0;3.143487858719647
12052000_12052000_10936;851.2455501267503;851.2455501267503;1.0;264.0;78.0;3.3846153846153846
12052000_12052000_29081;11867.206721535718;7017.917915872132;1.690986823128289;1125.0;510.0;2.2058823529411766
12052000_12052000_26588;8378.89471091603;2998.269784986486;2.794576643126795;1578.0;274.0;5.759124087591241
12052000_12052000_19014;5700.000870007362;4081.1697217259466;1.396658619626533;840.0;302.0;2.781456953642384
12052000_12071000_34900;15482.759113556298;12125.670761279249;1.2768579502419939;2243.0;755.0;2.970860927152318
12052000_12052000_26459;1597.2698887398776;1597.2698887398776;1.0;910.0;115.0;7.913043478260869
12052000_12052000_31345;9773.675361198933;7662.040788923702;1.275596884752666;1208.0;486.0;2.48559670781893
12071000_12052000_57508;19560.219847576718;9866.511405076673;1.9824859106241224;1839.0;765.0;2.403921568627451
12052000_12052000_14080;5837.313855411213;5837.313855411213;1.0;1523.0;430.0;3.541860465116279
12052000_12052000_17083;7307.180670899519;5631.250308724692;1.2976124786316547;1311.0;395.0;3.318987341772152
12052000_12052000_28851;14902.505148470796;6717.72453239888;2.2183858651240578;1888.0;440.0;4.290909090909091
12052000_12052000_19276;4491.184153536426;2754.058567986609;1.6307511415124933;956.0;254.0;3.763779527559055
12052000_12052000_25184;18096.532126171416;8817.591395430893;2.0523214690520466;2079.0;653.0;3.1837672281776417
12052000_12052000_5202;7890.052283119379;7890.052283119379;1.0;649.0;355.0;1.828169014084507
12052000_12052000_6193;9089.908031899997;3053.473090192782;2.9769078565307097;1516.0;235.0;6.451063829787234
12052000_12052000_3289;2733.4818013039767;2733.4818013039767;1.0;542.0;305.0;1.777049180327869
12052000_12052000_29401;12368.634802661942;9356.442844246216;1.3219377287457152;2122.0;649.0;3.2696456086286596
12052000_12052000_20867;4859.315244420977;3963.841758601659;1.2259105030810358;761.0;310.0;2.4548387096774196
12052000_12052000_31629;8805.610060952986;5656.586823985575;1.5567002390230509;1834.0;414.0;4.429951690821256
12052000_12052000_24059;2049.0627913103153;2049.0627913103153;1.0;931.0;183.0;5.087431693989071
12052000_12052000_3052;14730.422744525733;7903.57314177425;1.863767498609995;1753.0;515.0;3.403883495145631
12052000_12052000_8543;1909.1776921814048;2087.9908726521594;0.9143611292497525;1451.0;171.0;8.485380116959064
12052000_12052000_18036;13433.741013734012;9799.46802893577;1.370864313661415;2021.0;615.0;3.286178861788618
12052000_12052000_197;17305.42527744798;7056.245116064843;2.4524977509708368;1843.0;585.0;3.1504273504273503
12052000_12071000_35408;7429.551522686085;6888.688859672412;1.0785146018395428;1037.0;336.0;3.0863095238095237
12052000_12052000_9349;5728.796919638658;4819.994602025499;1.1885484098325036;1536.0;403.0;3.8114143920595533
12052000_12052000_24634;5876.271753274625;3061.4853041524098;1.919418572842539;1330.0;231.0;5.757575757575758
12071000_12052000_51367;7281.042815756812;7281.042815756812;1.0;779.0;444.0;1.7545045045045045
12052000_12052000_12033;4883.774031535066;4883.774031535066;1.0;1162.0;304.0;3.8223684210526314
12052000_12052000_27922;11422.278514231473;8619.247468821619;1.325206006156483;2201.0;661.0;3.329803328290469
12052000_12052000_30301;7112.782121956479;5335.784117041298;1.3330340894489807;1403.0;366.0;3.8333333333333335
12052000_12052000_28125;3941.3062541324084;3941.3062541324084;1.0;1339.0;278.0;4.816546762589928
12052000_12052000_4500;19161.315818584757;10033.25384778734;1.9097808257697428;2181.0;653.0;3.339969372128637
12052000_12052000_30826;13385.269189876097;5600.419716780565;2.390047508362587;1339.0;360.0;3.7194444444444446
12052000_12071000_33946;8439.740750742678;4811.837628814454;1.7539537702193977;1108.0;347.0;3.1930835734870318
12052000_12052000_28405;23873.48408620976;13132.95429901189;1.817830439568801;2569.0;902.0;2.8481152993348116
12052000_12052000_13959;6360.543058475262;1930.9356275130244;3.294021285767777;781.0;121.0;6.454545454545454
12052000_12052000_23538;5198.39199114565;3798.023293835038;1.368709875893519;1545.0;213.0;7.253521126760563
12052000_12052000_18220;19173.738004059567;9642.08882169052;1.9885460877446977;1678.0;415.0;4.043373493975904
12052000_12052000_25461;14380.557171015544;8652.357877635008;1.6620391082281785;1944.0;591.0;3.2893401015228427
12052000_12052000_1511;5806.099403058252;4440.660088037915;1.3074856638314893;1409.0;408.0;3.4534313725490198
12052000_12052000_18682;9895.836435722813;4118.5176127485665;2.402766569479024;1414.0;306.0;4.620915032679738
12052000_12052000_3443;6278.072603537107;6278.072603537107;1.0;1132.0;391.0;2.895140664961637
12052000_12052000_20822;11423.898326188288;8739.086983442538;1.3072187458292284;1952.0;572.0;3.4125874125874125
12052000_12052000_16805;10294.665533898416;6797.7260228051855;1.5144278394512531;1345.0;497.0;2.7062374245472838
12052000_12052000_20233;14774.297561946161;3910.5047861113367;3.7781049685500934;1486.0;270.0;5.503703703703704
12052000_12052000_17986;15650.718388422243;7320.127331053;2.138039091482701;1596.0;464.0;3.439655172413793
12052000_12052000_5113;7442.855708256431;2386.1376140374045;3.119206396341464;1002.0;179.0;5.597765363128492
12052000_12052000_11950;16118.367326002333;6397.014835755406;2.51967014925626;1936.0;484.0;4.0
12052000_12052000_1269;20916.019083991814;6728.365333136438;3.1086330852135493;2000.0;539.0;3.7105751391465676
12052000_12052000_15727;3646.2030933831957;3459.803132880569;1.053875886385314;891.0;263.0;3.387832699619772
12052000_12052000_29920;2196.066772955523;2090.2754772821695;1.0506111738969957;416.0;194.0;2.1443298969072164
12052000_12052000_4797;13842.980959887624;9908.030685842365;1.3971475663340374;1856.0;480.0;3.8666666666666667
12052000_12052000_23368;8803.173029271067;6883.864745510439;1.2788126081373656;1636.0;366.0;4.469945355191257
12052000_12052000_20338;15137.726691341626;5578.557334396389;2.713555814512312;1735.0;423.0;4.101654846335697
12052000_12052000_29852;19833.721740561636;11026.72608683641;1.7986954227727598;2061.0;675.0;3.0533333333333332
12052000_12052000_26219;15011.755863954033;3898.4164490140315;3.850731716400061;1659.0;349.0;4.7535816618911175
